Table 17: Probability of Losing a Job During the Next 5 Years
Month,Year,0%,1-24%,25-49%,50%,51-74%,75-99%,100%,Mean,DK; NA,
1,2004,39,27,9,15,3,6,1,21.8,0,
2,2004,42,28,8,11,3,5,2,20.2,1,
3,2004,41,27,11,12,2,4,2,20.1,1,
4,2004,37,29,10,13,3,5,2,21.9,1,
5,2004,37,29,11,11,2,7,2,22.3,1,
6,2004,40,26,10,14,3,6,1,21.3,0,
7,2004,36,33,9,12,2,5,2,21,1,
8,2004,44,28,9,12,2,3,1,17.7,1,
9,2004,40,29,11,12,2,4,1,18.8,1,
10,2004,38,27,7,16,4,5,2,23.1,1,
11,2004,43,29,9,12,2,3,2,19.1,0,
12,2004,45,28,10,9,2,4,2,17.5,0,
1,2005,43,29,9,13,2,3,1,18.1,0,
2,2005,45,27,10,9,2,4,2,18.4,1,
3,2005,39,32,8,12,3,4,1,19.2,1,
4,2005,36,29,10,15,3,4,2,22,1,
5,2005,43,28,8,10,3,4,3,19.6,1,
6,2005,44,28,6,13,2,4,3,19.3,0,
7,2005,46,26,8,13,1,3,2,18.2,1,
8,2005,46,27,10,8,3,3,3,18.6,0,
9,2005,41,28,11,11,2,4,1,18.7,2,
10,2005,46,29,4,13,1,5,1,17.5,1,
11,2005,45,29,8,7,2,5,3,18.1,1,
12,2005,44,32,6,9,3,4,1,16.9,1,
1,2006,44,27,8,13,3,3,1,18.5,1,
2,2006,41,26,8,17,2,3,2,20.5,1,
3,2006,43,34,7,10,2,3,1,15.9,0,
4,2006,45,27,7,10,3,4,3,19.1,1,
5,2006,44,24,10,12,1,6,2,20,1,
6,2006,46,30,7,9,2,3,2,16.5,1,
7,2006,46,28,7,12,1,3,2,16.7,1,
8,2006,45,33,9,7,2,4,0,15.2,0,
9,2006,43,29,8,14,1,4,1,18.8,0,
10,2006,45,30,7,10,2,4,1,17.5,1,
11,2006,44,29,9,10,1,5,2,18.5,0,
12,2006,46,27,9,10,2,4,1,16.9,1,
1,2007,44,31,8,10,2,2,2,16.8,1,
2,2007,48,29,7,9,1,4,0,15.1,2,
3,2007,47,24,10,10,2,6,1,18.2,0,
4,2007,49,29,8,8,2,3,1,14.6,0,
5,2007,44,32,8,10,1,3,1,15.8,1,
6,2007,44,27,8,12,3,3,2,18.8,1,
7,2007,46,27,9,10,2,2,3,17.1,1,
8,2007,46,26,7,10,3,3,4,19.1,1,
9,2007,45,30,9,9,2,4,1,16.6,0,
10,2007,42,31,8,12,2,2,1,17.1,2,
11,2007,44,34,7,8,1,4,1,16,1,
12,2007,42,30,8,12,1,4,2,18.7,1,
1,2008,46,28,7,10,2,4,2,17.4,1,
2,2008,43,29,8,10,3,4,2,19,1,
3,2008,45,30,7,8,3,4,2,17.6,1,
4,2008,42,27,9,12,3,3,2,19.1,2,
5,2008,45,28,6,12,2,4,1,17.3,2,
6,2008,43,26,9,14,2,4,2,19.9,0,
7,2008,47,28,8,10,2,3,1,16.1,1,
8,2008,45,27,9,11,3,5,0,18.1,0,
9,2008,41,30,12,9,1,5,1,17.7,1,
10,2008,41,29,10,10,2,5,2,19.6,1,
11,2008,41,28,9,12,2,5,2,20.5,1,
12,2008,42,25,10,14,2,4,2,20.5,1,
1,2009,43,26,8,14,3,4,1,19.5,1,
2,2009,39,29,8,12,3,6,2,21.3,1,
3,2009,36,24,14,14,2,6,3,24.2,1,
4,2009,41,25,12,12,3,4,2,20.5,1,
5,2009,42,25,8,13,3,5,3,21.3,1,
6,2009,42,24,9,12,4,6,2,21.6,1,
7,2009,39,27,10,14,3,5,1,20.9,1,
8,2009,40,29,9,13,1,4,3,20.8,1,
9,2009,39,24,11,15,3,5,2,21.6,1,
10,2009,42,29,8,13,3,3,1,18.5,1,
11,2009,41,28,9,15,1,4,2,20.3,0,
12,2009,43,25,8,14,3,4,2,20.3,1,
1,2010,44,26,9,9,3,5,3,20.5,1,
2,2010,44,24,9,12,2,5,4,21.4,0,
3,2010,42,26,10,14,2,4,1,19.4,1,
4,2010,43,23,9,13,3,6,2,21.3,1,
5,2010,42,26,8,13,3,4,3,20.7,1,
6,2010,43,27,9,13,1,4,2,19,1,
7,2010,41,29,9,12,3,3,2,19,1,
8,2010,43,28,6,14,2,5,1,19.3,1,
9,2010,42,29,8,15,1,4,1,19.2,0,
10,2010,44,25,9,14,2,4,1,18.9,1,
11,2010,43,24,10,14,2,5,2,20.7,0,
12,2010,42,26,12,11,3,4,2,19.8,0,
1,2011,44,24,9,11,5,5,1,20.1,1,
2,2011,43,28,8,12,2,3,3,19.9,1,
3,2011,47,23,8,11,3,5,2,19.3,1,
4,2011,43,27,8,14,3,3,2,19.6,0,
5,2011,43,26,9,16,1,3,1,18.9,1,
6,2011,42,25,8,17,2,3,2,21,1,
7,2011,45,26,8,10,3,4,3,19.7,1,
