Table 17: Probability of Losing a Job During the Next 5 Years
Month,Year,0%,1-24%,25-49%,50%,51-74%,75-99%,100%,Mean,DK; NA,
8,2011,48,22,10,12,3,4,1,18,0,
9,2011,46,27,9,10,1,4,2,17.3,1,
10,2011,42,26,9,12,3,5,3,21.4,0,
11,2011,46,24,10,14,1,4,1,17.7,0,
12,2011,43,27,9,13,2,3,3,19.3,0,
1,2012,46,25,9,11,3,4,2,18.8,0,
2,2012,47,22,10,10,2,5,3,19.1,1,
3,2012,43,31,8,12,2,2,1,17,1,
4,2012,43,29,10,10,2,4,1,18.4,1,
5,2012,50,22,7,11,3,4,2,17.9,1,
6,2012,47,22,8,14,1,4,3,19.1,1,
7,2012,49,23,6,13,1,3,3,18.3,2,
8,2012,50,21,9,13,1,3,1,17.1,2,
9,2012,50,24,8,12,1,3,2,16.9,0,
10,2012,45,27,7,11,3,5,1,19,1,
11,2012,50,21,8,13,1,5,2,18.6,0,
12,2012,49,24,9,11,2,3,2,17.3,0,
1,2013,45,27,9,10,2,5,2,19.3,0,
2,2013,46,26,9,11,2,4,2,17.8,0,
3,2013,48,25,9,9,3,3,2,18.2,1,
4,2013,48,21,9,11,4,3,3,19.9,1,
5,2013,44,25,8,13,3,5,2,20.2,0,
6,2013,46,28,7,11,1,5,2,18,0,
7,2013,43,27,11,10,2,4,2,18.7,1,
8,2013,43,29,7,10,2,5,3,19.6,1,
9,2013,45,25,8,11,4,5,2,19.9,0,
10,2013,47,24,11,10,2,4,2,18.1,0,
11,2013,49,22,8,11,3,4,2,18.9,1,
12,2013,47,27,8,9,3,3,2,17,1,
1,2014,49,25,9,10,3,2,1,15.8,1,
2,2014,46,28,8,10,1,4,3,17.9,0,
3,2014,42,29,7,10,3,6,2,19.5,1,
4,2014,42,26,12,10,3,4,3,19.8,0,
5,2014,45,28,8,13,2,2,2,17.6,0,
6,2014,45,22,11,10,2,7,3,21.1,0,
7,2014,46,24,9,10,2,5,3,19.3,1,
8,2014,48,26,6,11,2,4,3,17.7,0,
9,2014,46,28,7,10,2,4,3,18.7,0,
10,2014,40,29,12,11,2,4,1,19.3,1,
11,2014,44,28,8,10,3,4,2,18.3,1,
12,2014,40,28,12,11,4,3,2,20.3,0,
1,2015,43,27,11,11,1,6,1,19.7,0,
2,2015,40,30,11,10,2,4,2,18.9,1,
3,2015,40,31,10,12,2,3,2,19.6,0,
4,2015,39,28,11,15,1,4,2,20.4,0,
5,2015,39,27,11,12,3,4,3,21.8,1,
6,2015,40,28,10,11,2,4,4,21.3,1,
7,2015,42,29,11,10,2,4,2,19.3,0,
8,2015,43,28,12,9,3,3,2,18.3,0,
9,2015,38,29,10,11,2,5,4,22.2,1,
10,2015,38,32,8,13,3,4,1,19.9,1,
11,2015,39,32,10,11,3,3,1,19,1,
12,2015,39,27,13,12,2,4,3,21.4,0,
1,2016,42,26,12,10,1,4,4,20.2,1,
2,2016,44,30,8,11,1,4,2,18.3,0,
3,2016,41,32,10,9,1,5,2,18.6,0,
4,2016,40,33,7,11,3,4,2,19.3,0,
5,2016,43,30,10,9,2,4,2,17.9,0,
6,2016,39,33,9,11,3,3,2,19.1,0,
7,2016,43,29,10,9,3,2,3,18.5,1,
8,2016,40,31,8,12,2,4,3,19.7,0,
9,2016,39,29,9,12,4,5,2,21.5,0,
10,2016,40,30,10,13,2,3,2,20.3,0,
11,2016,38,31,12,11,2,4,2,19.7,0,
12,2016,44,31,8,10,2,2,2,17.3,1,
1,2017,38,37,8,11,2,3,1,18,0,
2,2017,41,30,12,11,2,2,2,18.8,0,
3,2017,41,33,8,9,2,5,1,18.3,1,
4,2017,42,30,10,9,3,4,2,19.2,0,
5,2017,44,28,9,10,3,4,1,18.5,1,
6,2017,41,32,9,8,3,4,2,18.4,1,
7,2017,42,31,9,9,3,3,2,17.7,1,
8,2017,44,27,10,11,3,3,2,18.6,0,
9,2017,46,28,9,10,2,4,1,17.6,0,
10,2017,42,30,10,9,3,4,2,18.3,0,
11,2017,40,32,11,11,3,2,1,17.9,0,
12,2017,40,34,7,9,3,4,3,19,0,
1,2018,42,31,11,8,2,4,2,17.8,0,
2,2018,45,29,11,9,2,2,1,16.1,1,
3,2018,47,29,10,9,1,2,2,16,0,
4,2018,45,30,8,8,2,4,2,17.3,1,
5,2018,42,29,11,10,3,3,2,18.5,0,
6,2018,41,33,8,9,2,5,2,18.4,0,
7,2018,41,31,8,12,2,3,2,18.2,1,
8,2018,46,29,9,8,3,3,1,16.8,1,
9,2018,47,30,8,8,2,3,2,16.2,0,
10,2018,46,30,9,8,2,3,2,16.2,0,
11,2018,44,30,10,9,2,3,2,16.9,0,
12,2018,42,29,10,11,3,2,2,18.5,1,
1,2019,43,32,10,8,2,3,2,16.7,0,
2,2019,45,29,11,8,2,3,2,16.6,0,
3,2019,47,29,8,9,2,3,1,16.1,1,
4,2019,45,29,7,10,3,4,2,17.7,0,
5,2019,46,30,8,9,2,3,2,16.1,0,
6,2019,43,31,8,10,2,3,3,18.2,0,
7,2019,45,28,11,9,3,3,1,17.1,0,
8,2019,46,27,10,10,2,3,2,18.1,0,
9,2019,47,30,8,7,2,5,1,16,0,
10,2019,45,30,9,7,2,3,3,17.2,1,
11,2019,47,26,10,9,3,4,1,17.2,0,
12,2019,43,32,7,8,2,4,4,18.4,0,
1,2020,47,29,9,7,3,3,2,16.6,0,
2,2020,46,31,8,9,2,2,1,16.1,1,
3,2020,43,30,9,10,2,4,1,17.6,1,
4,2020,43,28,9,11,4,4,1,18.9,0,
5,2020,45,24,9,12,4,4,2,20.2,0,
6,2020,41,27,12,11,2,4,3,20.7,0,
7,2020,37,27,11,12,3,6,4,23.7,0,
8,2020,38,30,11,10,2,5,3,21.4,1,
9,2020,41,33,8,11,2,3,2,18.3,0,
10,2020,47,27,8,10,3,3,2,17.5,0,
