Date,Crisis
2004-01,36
2004-02,44
2004-03,52
2004-04,58
2004-05,52
2004-06,36
2004-07,35
2004-08,30
2004-09,42
2004-10,45
2004-11,50
2004-12,47
2005-01,38
2005-02,43
2005-03,41
2005-04,52
2005-05,55
2005-06,38
2005-07,30
2005-08,27
2005-09,37
2005-10,41
2005-11,45
2005-12,37
2006-01,32
2006-02,35
2006-03,41
2006-04,50
2006-05,49
2006-06,33
2006-07,32
2006-08,28
2006-09,30
2006-10,35
2006-11,38
2006-12,30
2007-01,31
2007-02,32
2007-03,39
2007-04,43
2007-05,42
2007-06,29
2007-07,30
2007-08,31
2007-09,38
2007-10,45
2007-11,47
2007-12,43
2008-01,39
2008-02,43
2008-03,56
2008-04,74
2008-05,60
2008-06,48
2008-07,40
2008-08,38
2008-09,75
2008-10,100
2008-11,70
2008-12,58
2009-01,57
2009-02,71
2009-03,66
2009-04,62
2009-05,57
2009-06,44
2009-07,39
2009-08,39
2009-09,42
2009-10,48
2009-11,49
2009-12,43
2010-01,42
2010-02,49
2010-03,47
2010-04,55
2010-05,60
2010-06,43
2010-07,31
2010-08,31
2010-09,34
2010-10,41
2010-11,43
2010-12,39
2011-01,41
2011-02,48
2011-03,67
2011-04,56
2011-05,48
2011-06,37
2011-07,38
2011-08,37
2011-09,39
2011-10,42
2011-11,45
2011-12,39
2012-01,36
2012-02,37
2012-03,39
2012-04,43
2012-05,42
2012-06,34
2012-07,29
2012-08,28
2012-09,34
2012-10,43
2012-11,41
2012-12,35
2013-01,36
2013-02,39
2013-03,41
2013-04,49
2013-05,44
2013-06,31
2013-07,29
2013-08,30
2013-09,37
2013-10,40
2013-11,38
2013-12,34
2014-01,33
2014-02,40
2014-03,58
2014-04,55
2014-05,51
2014-06,40
2014-07,35
2014-08,33
2014-09,35
2014-10,39
2014-11,36
2014-12,35
2015-01,31
2015-02,35
2015-03,42
2015-04,45
2015-05,42
2015-06,36
2015-07,38
2015-08,30
2015-09,50
2015-10,50
2015-11,53
2015-12,40
2016-01,46
2016-02,50
2016-03,50
2016-04,52
2016-05,47
2016-06,37
2016-07,34
2016-08,30
2016-09,37
2016-10,39
2016-11,40
2016-12,37
2017-01,37
2017-02,42
2017-03,42
2017-04,48
2017-05,46
2017-06,33
2017-07,29
2017-08,33
2017-09,36
2017-10,44
2017-11,48
2017-12,42
2018-01,38
2018-02,53
2018-03,47
2018-04,50
2018-05,48
2018-06,39
2018-07,32
2018-08,33
2018-09,39
2018-10,40
2018-11,40
2018-12,40
2019-01,40
2019-02,45
2019-03,43
2019-04,51
2019-05,47
2019-06,38
2019-07,31
2019-08,35
2019-09,38
2019-10,43
2019-11,43
2019-12,64
2020-01,54
2020-02,45
2020-03,72
2020-04,65
2020-05,54
2020-06,52
2020-07,36
2020-08,33
2020-09,39
2020-10,37
2020-11,33
